Doug Jones
Richard Shelby
Daniel Sullivan
Lisa Murkowski
Jeff Flake
John Boozman
Tom Cotton
Dianne Feinstein
Kamala Harris
Cory Gardner
Michael Bennet
Chris Murphy
Richard Blumenthal
Chris Coons
Tom Carper
Bill Nelson
Marco Rubio
David Perdue
Johnny Isakson
Brian Schatz
Mazie Hirono
Jim Risch
Mike Crapo
Dick Durbin
Tammy Duckworth
Joe Donnelly
Todd Young
Chuck Grassley
Joni Ernst
Jerry Moran
Pat Roberts
Mitch McConnell
Rand Paul
Bill Cassidy
John Neely Kennedy
Angus King
Susan Collins
Ben Cardin
Chris Van Hollen
Ed Markey
Elizabeth Warren
Debbie Stabenow
Gary Peters
Amy Klobuchar
Tina Smith
Cindy Hyde-Smith
Roger Wicker
Claire McCaskill
Roy Blunt
Jon Tester
Steve Daines
Ben Sasse
Deb Fischer
Catherine Cortez Masto
Dean Heller
Jeanne Shaheen
Maggie Hassan
Bob Menendez
Cory Booker
Martin Heinrich
Tom Udall
Chuck Schumer
Kirsten Gillibrand
Richard Burr
Thom Tillis
Heidi Heitkamp
John Hoeven
Rob Portman
Sherrod Brown
James Lankford
Jim Inhofe
Jeff Merkley
Ron Wyden
Bob Casey
Pat Toomey
Jack Reed
Sheldon Whitehouse
Lindsey Graham
Tim Scott
John Thune
Mike Rounds
Bob Corker
Lamar Alexander
John Cornyn
Ted Cruz
Mike Lee (Utah)
Orrin Hatch
Bernie Sanders
Patrick Leahy
Mark Warner
Tim Kaine
Maria Cantwell
Patty Murray
Joe Manchin
Shelley Moore Capito
Ron Johnson
Tammy Baldwin
John Barrasso
Mike Enzi
